Date,Timestamp,Half,Team,Player,Event,Assist By,Highlight,Assist Highlight,Shot X,Shot Y,Assist X,Assist Y,Net X,Net Y,Foot
2026-05-21,0:00,1H,A,Ines,GK On,,,,,,,,,,
2026-05-21,0:00,1H,B,Jake,GK On,,,,,,,,,,
2026-05-21,0:28,1H,A,James,Off Target,,none,,,,,,,,
2026-05-21,0:29,1H,A,James,Nutmegs,,none,,,,,,,,
2026-05-21,0:39,1H,A,James,Interceptions,,none,,,,,,,,
2026-05-21,0:42,1H,A,Richard,Tackles,,none,,,,,,,,
2026-05-21,0:44,1H,B,Bailey,Key Passes,,none,,,,,,,,
2026-05-21,0:45,1H,B,Andres,On Target,,none,,,,,,,,
2026-05-21,0:45,1H,A,Richard,Blocks,,none,,,,,,,,
2026-05-21,0:48,1H,A,Richard,Interceptions,,none,,,,,,,,
2026-05-21,0:59,1H,A,Richard,Interceptions,,none,,,,,,,,
2026-05-21,1:02,1H,B,Bailey,Interceptions,,none,,,,,,,,
2026-05-21,1:20,1H,A,James,Key Passes,,none,,,,,,,,
2026-05-21,1:22,1H,A,Gio,On Target,,none,,,,,,,,
2026-05-21,1:22,1H,B,Lachlan,Blocks,,none,,,,,,,,
2026-05-21,1:25,1H,A,Richard,Interceptions,,none,,,,,,,,
2026-05-21,1:32,1H,A,Gio,On Target,,none,,,,,,,,
2026-05-21,1:32,1H,A,Gio,Goals,Richard,highlight,none,0.6960,0.1720,0.2700,0.8150,,,
2026-05-21,1:50,1H,A,James,Interceptions,,none,,,,,,,,
2026-05-21,1:52,1H,A,Richard,Interceptions,,none,,,,,,,,
2026-05-21,1:58,1H,A,Gio,Interceptions,,none,,,,,,,,
2026-05-21,2:02,1H,B,Andres,On Target,,none,,,,,,,,
2026-05-21,2:02,1H,B,Andres,Goals,Bailey,none,none,0.6930,0.7770,0.8050,0.8760,,,
2026-05-21,2:18,1H,B,Bailey,Interceptions,,none,,,,,,,,
2026-05-21,2:22,1H,B,Bailey,Key Passes,,none,,,,,,,,
2026-05-21,2:22,1H,B,Andres,On Target,,none,,,,,,,,
2026-05-21,2:22,1H,A,Richard,Blocks,,none,,,,,,,,
2026-05-21,2:32,1H,B,Bailey,Interceptions,,none,,,,,,,,
2026-05-21,2:59,1H,B,Alberto,Interceptions,,none,,,,,,,,
2026-05-21,3:05,1H,A,Richard,Interceptions,,none,,,,,,,,
2026-05-21,3:08,1H,B,Bailey,Interceptions,,none,,,,,,,,
2026-05-21,3:11,1H,B,Alberto,Tackles,,none,,,,,,,,
2026-05-21,3:26,1H,B,Andres,Key Passes,,none,,,,,,,,
2026-05-21,3:28,1H,B,Bailey,Off Target,,none,,,,,,,,
2026-05-21,3:36,1H,A,Gio,Nutmegs,,none,,,,,,,,
2026-05-21,3:36,1H,B,Alberto,Interceptions,,none,,,,,,,,
2026-05-21,3:46,1H,B,Lachlan,Key Passes,,none,,,,,,,,
2026-05-21,4:51,1H,A,Gio,Interceptions,,none,,,,,,,,
2026-05-21,4:54,1H,B,Alberto,Interceptions,,none,,,,,,,,
2026-05-21,4:59,1H,A,Gio,Interceptions,,none,,,,,,,,
2026-05-21,5:01,1H,A,Gio,On Target,,none,,,,,,,,
2026-05-21,5:01,1H,B,Lachlan,Blocks,,none,,,,,,,,
2026-05-21,5:10,1H,B,Andres,Interceptions,,none,,,,,,,,
2026-05-21,5:15,1H,B,Lachlan,Interceptions,,none,,,,,,,,
2026-05-21,5:30,1H,A,Gio,Tackles,,none,,,,,,,,
2026-05-21,6:09,1H,B,Alberto,Tackles,,none,,,,,,,,
2026-05-21,6:21,1H,A,Gio,Tackles,,none,,,,,,,,
2026-05-21,6:26,1H,B,Andres,Tackles,,none,,,,,,,,
2026-05-21,6:29,1H,B,Lachlan,Key Passes,,none,,,,,,,,
2026-05-21,6:31,1H,B,Andres,On Target,,none,,,,,,,,
2026-05-21,6:31,1H,A,Gio,Blocks,,none,,,,,,,,
2026-05-21,6:33,1H,B,Andres,On Target,,none,,,,,,,,
2026-05-21,6:33,1H,A,Richard,GK Saves,,none,,,,,,,,
2026-05-21,3:35,1H,A,Ines,GK Removed,,,,,,,,,,
2026-05-21,3:35,1H,A,Richard,GK On,,,,,,,,,,
2026-05-21,6:42,1H,A,Gio,Key Passes,,none,,,,,,,,
2026-05-21,6:44,1H,A,James,On Target,,none,,,,,,,,
2026-05-21,6:44,1H,B,Alberto,Blocks,,none,,,,,,,,
2026-05-21,6:48,1H,B,Lachlan,Interceptions,,none,,,,,,,,
2026-05-21,6:49,1H,A,Lach2,Tackles,,none,,,,,,,,
2026-05-21,6:51,1H,B,Lachlan,Tackles,,none,,,,,,,,
2026-05-21,7:16,1H,B,Alberto,Key Passes,,none,,,,,,,,
2026-05-21,7:16,1H,B,Andres,On Target,,none,,,,,,,,
2026-05-21,7:16,1H,A,Lach2,Blocks,,none,,,,,,,,
2026-05-21,7:22,1H,B,Lachlan,Key Passes,,none,,,,,,,,
2026-05-21,7:23,1H,B,Bailey,On Target,,none,,,,,,,,
2026-05-21,7:23,1H,A,Richard,GK Saves,,none,,,,,,,,
2026-05-21,7:29,1H,A,Richard,Key Passes,,none,,,,,,,,
2026-05-21,7:32,1H,A,James,Off Target,,none,,,,,,,,
2026-05-21,7:40,1H,A,Ines,Interceptions,,none,,,,,,,,
2026-05-21,7:50,1H,A,Ines,Interceptions,,none,,,,,,,,
2026-05-21,8:09,1H,B,Bailey,Key Passes,,none,,,,,,,,
2026-05-21,8:10,1H,B,Alberto,On Target,,none,,,,,,,,
2026-05-21,8:11,1H,A,Richard,GK Saves,,none,,,,,,,,
2026-05-21,8:12,1H,A,Richard,Key Passes,,none,,,,,,,,
2026-05-21,8:24,1H,A,Richard,Interceptions,,none,,,,,,,,
2026-05-21,8:31,1H,B,Lachlan,Interceptions,,none,,,,,,,,
2026-05-21,8:37,1H,A,James,Off Target,,none,,,,,,,,
2026-05-21,8:38,1H,B,Jake,GK Saves,,none,,,,,,,,
2026-05-21,8:54,1H,B,Jake,GK Removed,,,,,,,,,,
2026-05-21,8:54,1H,B,Alberto,GK On,,,,,,,,,,
2026-05-21,9:08,1H,A,Richard,Interceptions,,none,,,,,,,,
2026-05-21,9:20,1H,B,Bailey,Interceptions,,none,,,,,,,,
2026-05-21,9:22,1H,A,Gio,Key Passes,,none,,,,,,,,
2026-05-21,9:22,1H,A,James,Off Target,,none,,,,,,,,
2026-05-21,9:30,1H,B,Bailey,Key Passes,,none,,,,,,,,
2026-05-21,9:33,1H,B,Lachlan,On Target,,none,,,,,,,,
2026-05-21,9:33,1H,A,Richard,GK Saves,,none,,,,,,,,
2026-05-21,9:35,1H,A,Gio,Interceptions,,none,,,,,,,,
2026-05-21,9:40,1H,B,Bailey,Key Passes,,none,,,,,,,,
2026-05-21,9:40,1H,B,Lachlan,Off Target,,none,,,,,,,,
2026-05-21,9:40,1H,B,Lachlan,Post,,none,,,,,,,,
2026-05-21,9:43,1H,B,Andres,Tackles,,none,,,,,,,,
2026-05-21,9:48,1H,A,Ines,Interceptions,,none,,,,,,,,
2026-05-21,9:59,1H,B,Jake,Tackles,,none,,,,,,,,
2026-05-21,10:02,1H,B,Bailey,Goals,Lachlan,highlight,highlight,0.8250,0.5270,0.7680,0.2230,,,
2026-05-21,10:27,1H,B,Jake,Interceptions,,none,,,,,,,,
2026-05-21,10:42,1H,A,James,Tackles,,none,,,,,,,,
2026-05-21,10:48,1H,A,Ines,Tackles,,none,,,,,,,,
2026-05-21,10:48,1H,B,Lachlan,Key Passes,,none,,,,,,,,
2026-05-21,10:49,1H,B,Bailey,On Target,,none,,,,,,,,
2026-05-21,10:49,1H,A,Richard,GK Saves,,none,,,,,,,,
2026-05-21,10:52,1H,B,Jake,On Target,,none,,,,,,,,
2026-05-21,10:53,1H,A,Richard,GK Saves,,none,,,,,,,,
2026-05-21,10:55,1H,B,Jake,Off Target,,none,,,,,,,,
